id_doc,type_of_document,states,sub_domain,domain,regulation_tariff,title,order_date,notification_date,comment_date,comments_given_on
147,TR-TUP,RJ,TD,Tariff,TRF,"RERC Generic Tariff Order for (Biomass, Biogas and Biomass Gasifier Power Plants) (FY 20)",15/01/2020,0000-00-00,0000-00-00,0000-00-00
148,TR-TUP,RJ,TD,Tariff,TRF,"RERC (Generic Tariff Order for (Biomass, Biogas and Biomass Gasifier Power Plants) (FY 21 & FY 22)), 2021",23/03/2021,0000-00-00,0000-00-00,0000-00-00
149,GZT-FIN,DL,OTH,Others,ORD,"DERC (Schedule of Charges and the Procedure) Order, 2017",31/08/2017,0000-00-00,0000-00-00,0000-00-00
150,TR-TUP,RJ,TD,Tariff,TRF,"RERC Tariff Order for (CSCTPP (Units 5&6)) True-up (FY 19), ARR & Tariff (FY 21)",23/04/2020,0000-00-00,0000-00-00,0000-00-00
151,TR-TUP,ML,TD,Tariff,TRF,"MSERC Tariff Order for (Lakroh Mini HEP), ARR (FY 20 to FY 24)",25/03/2021,0000-00-00,0000-00-00,0000-00-00
152,SOR,DL,OTH,Others,ORD,"DERC (Schedule of Charges and the Procedure) (Statement of Reasons) Order, 2017",0000-00-00,31/08/2017,0000-00-00,0000-00-00
153,TR-TUP,RJ,TD,Tariff,TRF,"RERC (Tariff Order for (JVVNL, JdVVNL, AVVNL) ARR (FY 21 to FY 24)), 2021",24/11/2021,0000-00-00,0000-00-00,0000-00-00
154,AMN,DL,OTH,Others,ORD,"DERC (Schedule of Charges and the Procedure) (1st Amd) Order, 2017",28/09/2017,0000-00-00,0000-00-00,0000-00-00
155,GZT-FIN,UK,TD,Tariff,TRF,"UERC Tariff Order for (UPCL) True-up (FY 20), APR (FY 21), ARR (FY 22)",26/04/2021,0000-00-00,0000-00-00,0000-00-00
156,AMN,DL,OTH,Others,ORD,"DERC (Schedule of Charges and the Procedure) (2nd Amd) Order, 2018",02/02/2018,0000-00-00,0000-00-00,0000-00-00
157,TR-TUP,RJ,TD,Tariff,TRF,RERC Tariff Order for (Component-A & Component-C of PM KUSUM),11/02/2020,0000-00-00,0000-00-00,0000-00-00
158,AMN,DL,OTH,Others,ORD,"DERC (Schedule of Charges and the Procedure) (3rd Amd) Order, 2018",04/07/2018,0000-00-00,0000-00-00,0000-00-00
